name	term	lev	seq	value
"peroxisomal matrix"	GO:0005782;GO:0031907	2	isogroup261818	-0.973020748358808
"peroxisomal matrix"	GO:0005782;GO:0031907	2	isogroup263615	-0.861946115201012
"peroxisomal matrix"	GO:0005782;GO:0031907	2	isogroup251827	0.786416263041793
"peroxisomal matrix"	GO:0005782;GO:0031907	2	isogroup236031	-1.37382819201183
"peroxisomal matrix"	GO:0005782;GO:0031907	2	isogroup223892	3.81443414444404
"peroxisomal matrix"	GO:0005782;GO:0031907	2	isogroup200216	-1.07992454538071
"peroxisomal matrix"	GO:0005782;GO:0031907	2	isogroup250756	2.3416399100112
"presynaptic active zone"	GO:0048786	2	isogroup257069	0.986715346096653
"presynaptic active zone"	GO:0048786	2	isogroup246339	-0.137741328511128
"presynaptic active zone"	GO:0048786	2	isogroup246049	0.619461301031093
"presynaptic active zone"	GO:0048786	2	isogroup246507	1.05320463829054
"presynaptic active zone"	GO:0048786	2	isogroup262706	0.120010280410556
"PcG protein complex"	GO:0031519	4	isogroup253383	1.23386942863581
"PcG protein complex"	GO:0031519	4	isogroup254001	-1.0795326713693
"PcG protein complex"	GO:0031519	4	isogroup253641	-0.551835364077533
"PcG protein complex"	GO:0031519	4	isogroup238007	1.61880932438628
"PcG protein complex"	GO:0031519	4	isogroup259125	-0.0427302730990403
"PcG protein complex"	GO:0031519	4	isogroup259056	2.0597055048561
"PcG protein complex"	GO:0031519	4	isogroup252436	-0.465927551099275
"PcG protein complex"	GO:0031519	4	isogroup182604	-0.223581790216291
"PcG protein complex"	GO:0031519	4	isogroup252258	0.030691418423829
"PcG protein complex"	GO:0031519	4	isogroup238318	2.48323255541588
"PcG protein complex"	GO:0031519	4	isogroup259143	-2.38241453534161
"PcG protein complex"	GO:0031519	4	isogroup256520	1.17491426008572
"PcG protein complex"	GO:0031519	4	isogroup223044	0.0955093344582786
"PcG protein complex"	GO:0031519	4	isogroup257388	-0.112269462340198
"PcG protein complex"	GO:0031519	4	isogroup249241	2.74389032787873
"PcG protein complex"	GO:0031519	4	isogroup230849	-0.664167927490497
"PcG protein complex"	GO:0031519	4	isogroup249639	-1.3259022079746
"rough endoplasmic reticulum"	GO:0005791	2	isogroup261033	-0.00501998782033232
"rough endoplasmic reticulum"	GO:0005791	2	isogroup261760	0.422190651445528
"rough endoplasmic reticulum"	GO:0005791	2	isogroup256444	0.161202745502767
"rough endoplasmic reticulum"	GO:0005791	2	isogroup254926	-0.9219226242329
"rough endoplasmic reticulum"	GO:0005791	2	isogroup245202	0.313046324034884
"rough endoplasmic reticulum"	GO:0005791	2	isogroup257713	1.16583660749604
"rough endoplasmic reticulum"	GO:0005791	2	isogroup245580	1.84244828833507
"rough endoplasmic reticulum"	GO:0005791	2	isogroup245923	1.0542224231044
"rough endoplasmic reticulum"	GO:0005791	2	isogroup255693	2.72104811024213
"neuron projection"	GO:0043005	2	isogroup199897	-0.159612281803666
"neuron projection"	GO:0043005	2	isogroup253923	0.911646434102086
"neuron projection"	GO:0043005	2	isogroup225612	-0.346458980580767
"neuron projection"	GO:0043005	2	isogroup259721	-0.221917666647899
"neuron projection"	GO:0043005	2	isogroup260521	0.00227864308038685
"neuron projection"	GO:0043005	2	isogroup259373	0.942621984080388
"neuron projection"	GO:0043005	2	isogroup262873	0.428368884598577
"neuron projection"	GO:0043005	2	isogroup261407	1.16373043780497
"neuron projection"	GO:0043005	2	isogroup259924	1.89017449815029
"neuron projection"	GO:0043005	2	isogroup258122	0.215608728327474
"neuron projection"	GO:0043005	2	isogroup249006	-0.540790273954205
"neuron projection"	GO:0043005	2	isogroup256142	0.349755344830915
"neuron projection"	GO:0043005	2	isogroup262987	-0.259863963134629
"neuron projection"	GO:0043005	2	isogroup263491	0.24550313109795
"neuron projection"	GO:0043005	2	isogroup260790	-2.08460968934715
"neuron projection"	GO:0043005	2	isogroup260024	-0.30196491955003
"neuron projection"	GO:0043005	2	isogroup260669	-1.64554946305081
"neuron projection"	GO:0043005	2	isogroup232675	-1.58615967396901
"neuron projection"	GO:0043005	2	isogroup227619	0.205214370951371
"neuron projection"	GO:0043005	2	isogroup235597	-1.34348070821919
"neuron projection"	GO:0043005	2	isogroup204456	-0.989509237273834
"neuron projection"	GO:0043005	2	isogroup198097	-0.451234265552836
"neuron projection"	GO:0043005	2	isogroup261238	0.882288883757338
"neuron projection"	GO:0043005	2	isogroup251481	-0.583546363424262
"neuron projection"	GO:0043005	2	isogroup255418	0.193000488063288
"neuron projection"	GO:0043005	2	isogroup239236	1.78295507063189
"neuron projection"	GO:0043005	2	isogroup259464	0.00938266644999187
"neuron projection"	GO:0043005	2	isogroup250750	2.69564246130104
"neuron projection"	GO:0043005	2	isogroup250357	-0.164976905263869
"neuron projection"	GO:0043005	2	isogroup262725	-0.171032914874172
"neuron projection"	GO:0043005	2	isogroup261953	-0.507958012107132
"neuron projection"	GO:0043005	2	isogroup260731	-0.259404547424086
"neuron projection"	GO:0043005	2	isogroup248019	-0.142370598230073
"neuron projection"	GO:0043005	2	isogroup254721	0.347557325447729
"neuron projection"	GO:0043005	2	isogroup258202	-0.260697559078398
"neuron projection"	GO:0043005	2	isogroup247876	1.08273543863694
"neuron projection"	GO:0043005	2	isogroup210144	-0.376196210506787
"neuron projection"	GO:0043005	2	isogroup259548	-0.591357315863675
"neuron projection"	GO:0043005	2	isogroup257032	-0.224783415630492
"neuron projection"	GO:0043005	2	isogroup242127	-1.22739894375388
"neuron projection"	GO:0043005	2	isogroup253334	3.83611434892943
"neuron projection"	GO:0043005	2	isogroup246603	0.919096334128202
"neuron projection"	GO:0043005	2	isogroup246400	-2.33642545403488
"neuron projection"	GO:0043005	2	isogroup248771	0.522720994512226
"neuron projection"	GO:0043005	2	isogroup241845	0.741217497612875
"neuron projection"	GO:0043005	2	isogroup263331	-0.974029277574871
"neuron projection"	GO:0043005	2	isogroup249393	1.03333437138061
"neuron projection"	GO:0043005	2	isogroup245556	0.0404009642896265
"neuron projection"	GO:0043005	2	isogroup248027	-0.456103507136704
"neuron projection"	GO:0043005	2	isogroup256711	0.276226166655814
"neuron projection"	GO:0043005	2	isogroup243204	0.278390474839271
"neuron projection"	GO:0043005	2	isogroup243146	-0.690270415374764
"neuron projection"	GO:0043005	2	isogroup252783	1.89053782918065
"neuron projection"	GO:0043005	2	isogroup257323	-0.33782111234916
"neuron projection"	GO:0043005	2	isogroup263688	2.92069658474694
"neuron projection"	GO:0043005	2	isogroup259450	-0.525873102205511
"neuron projection"	GO:0043005	2	isogroup256591	-1.71464738992694
"neuron projection"	GO:0043005	2	isogroup263735	-1.62756052323876
"neuron projection"	GO:0043005	2	isogroup257923	-2.85606359624465
"neuron projection"	GO:0043005	2	isogroup259902	-0.469207896318985
"neuron projection"	GO:0043005	2	isogroup256209	2.09722348008372
"neuron projection"	GO:0043005	2	isogroup216831	-0.550328013076179
"neuron projection"	GO:0043005	2	isogroup261687	0.497681497042989
"neuron projection"	GO:0043005	2	isogroup241332	-5.44947865420508
"neuron projection"	GO:0043005	2	isogroup245167	2.5052427009664
"neuron projection"	GO:0043005	2	isogroup241066	-0.505611283044111
"neuron projection"	GO:0043005	2	isogroup253141	-1.80187958606611
"neuron projection"	GO:0043005	2	isogroup235573	0.605901273752839
"neuron projection"	GO:0043005	2	isogroup262920	-1.08145975770039
"neuron projection"	GO:0043005	2	isogroup262970	1.20244224105015
"neuron projection"	GO:0043005	2	isogroup259552	-0.257041201632475
"neuron projection"	GO:0043005	2	isogroup263263	-0.556658657794657
"neuron projection"	GO:0043005	2	isogroup256121	-2.42256718155918
"neuron projection"	GO:0043005	2	isogroup251935	-0.49405272577277
"neuron projection"	GO:0043005	2	isogroup248185	-0.353949982738914
"neuron projection"	GO:0043005	2	isogroup257499	-0.946955170276639
"neuron projection"	GO:0043005	2	isogroup263598	-0.327550070069827
"neuron projection"	GO:0043005	2	isogroup255758	0.549095244989704
"neuron projection"	GO:0043005	2	isogroup258700	0.723168390569808
"neuron projection"	GO:0043005	2	isogroup255472	1.17640604526967
"neuron projection"	GO:0043005	2	isogroup247520	-1.75599958776414
"neuron projection"	GO:0043005	2	isogroup259153	1.87336598365877
"neuron projection"	GO:0043005	2	isogroup250447	-1.40556777155916
"neuron projection"	GO:0043005	2	isogroup262559	-3.07464014131004
"neuron projection"	GO:0043005	2	isogroup244882	1.0933860170551
"neuron projection"	GO:0043005	2	isogroup261575	-1.83454185841156
"neuron projection"	GO:0043005	2	isogroup258324	1.3680066912342
"neuron projection"	GO:0043005	2	isogroup260551	-0.753166858671258
"neuron projection"	GO:0043005	2	isogroup258469	-0.830408429200616
"neuron projection"	GO:0043005	2	isogroup260035	-1.19125136440156
"neuron projection"	GO:0043005	2	isogroup254604	-0.515368211768245
"neuron projection"	GO:0043005	2	isogroup248756	0.418879493949913
"neuron projection"	GO:0043005	2	isogroup261081	1.72076357000862
"neuron projection"	GO:0043005	2	isogroup255665	0.344427213991038
"neuron projection"	GO:0043005	2	isogroup317708	0.104381695086414
"neuron projection"	GO:0043005	2	isogroup257668	2.97872308728664
"neuron projection"	GO:0043005	2	isogroup260886	-1.09004749080857
"neuron projection"	GO:0043005	2	isogroup253677	1.27136689799221
"neuron projection"	GO:0043005	2	isogroup262030	0.417755269184249
"neuron projection"	GO:0043005	2	isogroup260739	0.585086688644603
"neuron projection"	GO:0043005	2	isogroup255649	1.06524872282938
"neuron projection"	GO:0043005	2	isogroup222200	-0.363683732457264
"neuron projection"	GO:0043005	2	isogroup251067	0.745331053903859
"neuron projection"	GO:0043005	2	isogroup252911	-0.913487150117895
"neuron projection"	GO:0043005	2	isogroup245580	1.84244828833507
"neuron projection"	GO:0043005	2	isogroup254502	-0.225651232774099
"neuron projection"	GO:0043005	2	isogroup260977	-0.748731688333083
"neuron projection"	GO:0043005	2	isogroup243596	-1.76325936851753
"neuron projection"	GO:0043005	2	isogroup228919	0.510754538275594
"neuron projection"	GO:0043005	2	isogroup256164	-0.521121423118303
"neuron projection"	GO:0043005	2	isogroup250581	0.218544917090435
"neuron projection"	GO:0043005	2	isogroup262003	-0.700241474449542
"neuron projection"	GO:0043005	2	isogroup253963	1.34412331238062
"neuron projection"	GO:0043005	2	isogroup253529	0.791378599759567
"neuron projection"	GO:0043005	2	isogroup259611	1.25215842891581
"neuron projection"	GO:0043005	2	isogroup251647	0.336758184231627
"neuron projection"	GO:0043005	2	isogroup235015	-0.961003087984309
"neuron projection"	GO:0043005	2	isogroup250710	-1.12121337701948
"neuron projection"	GO:0043005	2	isogroup254457	6.06716784929971
"neuron projection"	GO:0043005	2	isogroup261313	0.569182583609309
"neuron projection"	GO:0043005	2	isogroup259635	-9.69316932034623
"neuron projection"	GO:0043005	2	isogroup259147	-0.179263004876049
"neuron projection"	GO:0043005	2	isogroup253100	-1.36956400662051
"neuron projection"	GO:0043005	2	isogroup263256	-0.222544729535325
"neuron projection"	GO:0043005	2	isogroup263701	-2.13647946838271
"neuron projection"	GO:0043005	2	isogroup254567	-0.205342096144884
"neuron projection"	GO:0043005	2	isogroup253436	-0.0987068295333968
"neuron projection"	GO:0043005	2	isogroup261175	0.999772948144023
"neuron projection"	GO:0043005	2	isogroup223188	-0.174946743321111
"neuron projection"	GO:0043005	2	isogroup190063	1.29146853232944
"neuron projection"	GO:0043005	2	isogroup245617	0.0830910805191993
"neuron projection"	GO:0043005	2	isogroup256837	-0.823789815889479
"neuron projection"	GO:0043005	2	isogroup244503	0.525705035511131
"neuron projection"	GO:0043005	2	isogroup257143	1.19685419237752
"neuron projection"	GO:0043005	2	isogroup253292	-1.15931374470185
"neuron projection"	GO:0043005	2	isogroup242295	-5.42372096367528
"neuron projection"	GO:0043005	2	isogroup249528	1.04111802026296
"neuron projection"	GO:0043005	2	isogroup263353	2.21140691833682
"neuron projection"	GO:0043005	2	isogroup242070	0.225639482719421
"neuron projection"	GO:0043005	2	isogroup258285	-0.354190196468068
"microtubule"	GO:0005874	2	isogroup242389	0.628895671353043
"microtubule"	GO:0005874	2	isogroup262494	0.359202744177306
"microtubule"	GO:0005874	2	isogroup225612	-0.346458980580767
"microtubule"	GO:0005874	2	isogroup261792	0.279506414440496
"microtubule"	GO:0005874	2	isogroup255761	-0.708592544757318
"microtubule"	GO:0005874	2	isogroup259373	0.942621984080388
"microtubule"	GO:0005874	2	isogroup258068	0.35885367194429
"microtubule"	GO:0005874	2	isogroup261828	0.818741810177696
"microtubule"	GO:0005874	2	isogroup256502	-2.51900894814051
"microtubule"	GO:0005874	2	isogroup181962	-0.108868768529108
"microtubule"	GO:0005874	2	isogroup258133	-0.702187033687322
"microtubule"	GO:0005874	2	isogroup257807	2.81515984280299
"microtubule"	GO:0005874	2	isogroup258443	-3.64078940869726
"microtubule"	GO:0005874	2	isogroup263122	-0.841852061784005
"microtubule"	GO:0005874	2	isogroup262505	0.211434061630323
"microtubule"	GO:0005874	2	isogroup263228	0.233632857603011
"microtubule"	GO:0005874	2	isogroup159809	0.180015090421043
"microtubule"	GO:0005874	2	isogroup251256	3.75491422375424
"microtubule"	GO:0005874	2	isogroup234184	-1.51555944754243
"microtubule"	GO:0005874	2	isogroup255328	-0.149616658246282
"microtubule"	GO:0005874	2	isogroup242183	-1.73152678085826
"microtubule"	GO:0005874	2	isogroup261953	-0.507958012107132
"microtubule"	GO:0005874	2	isogroup250809	1.27696794778015
"microtubule"	GO:0005874	2	isogroup257442	0.493728055542782
"microtubule"	GO:0005874	2	isogroup258202	-0.260697559078398
"microtubule"	GO:0005874	2	isogroup188399	0.588563244459625
"microtubule"	GO:0005874	2	isogroup250646	-0.232132243419968
"microtubule"	GO:0005874	2	isogroup258020	-0.0109245559318823
"microtubule"	GO:0005874	2	isogroup260396	-1.44743393536421
"microtubule"	GO:0005874	2	isogroup262265	0.53177351031711
"microtubule"	GO:0005874	2	isogroup248861	-0.349830616463155
"microtubule"	GO:0005874	2	isogroup256389	2.53181091688877
"microtubule"	GO:0005874	2	isogroup233689	1.09868294917566
"microtubule"	GO:0005874	2	isogroup257345	0.247800841106833
"microtubule"	GO:0005874	2	isogroup261771	-0.153909577992604
"microtubule"	GO:0005874	2	isogroup260336	-0.058399345387389
"microtubule"	GO:0005874	2	isogroup228928	0.655154442773548
"microtubule"	GO:0005874	2	isogroup218745	-0.331639495614849
"microtubule"	GO:0005874	2	isogroup248633	-0.578595711910679
"microtubule"	GO:0005874	2	isogroup243504	-0.0623049687210577
"microtubule"	GO:0005874	2	isogroup258205	2.45433199571912
"microtubule"	GO:0005874	2	isogroup260145	3.24332412855826
"microtubule"	GO:0005874	2	isogroup256196	-0.0128690954153127
"microtubule"	GO:0005874	2	isogroup251488	-0.331724412521569
"microtubule"	GO:0005874	2	isogroup252767	0.0913559200622011
"microtubule"	GO:0005874	2	isogroup252124	0.291095129434746
"microtubule"	GO:0005874	2	isogroup262288	-0.367127973657236
"microtubule"	GO:0005874	2	isogroup263019	2.76302616031447
"microtubule"	GO:0005874	2	isogroup251317	0.172527224723404
"microtubule"	GO:0005874	2	isogroup241454	2.37855857186148
"microtubule"	GO:0005874	2	isogroup69161	-0.215544796845311
"microtubule"	GO:0005874	2	isogroup263322	0.049912562538031
"microtubule"	GO:0005874	2	isogroup259694	0.270457956617177
"microtubule"	GO:0005874	2	isogroup240057	1.33760216743702
"microtubule"	GO:0005874	2	isogroup262342	-1.63849321362887
"microtubule"	GO:0005874	2	isogroup240017	0.035474069102622
"microtubule"	GO:0005874	2	isogroup261575	-1.83454185841156
"microtubule"	GO:0005874	2	isogroup263294	-0.144809988057015
"microtubule"	GO:0005874	2	isogroup212710	-1.05911450246256
"microtubule"	GO:0005874	2	isogroup259665	3.45156130901915
"microtubule"	GO:0005874	2	isogroup163442	0.820954028832981
"microtubule"	GO:0005874	2	isogroup259783	2.20568147007567
"microtubule"	GO:0005874	2	isogroup254166	0.817114579125748
"microtubule"	GO:0005874	2	isogroup238329	0.507829331988198
"microtubule"	GO:0005874	2	isogroup258309	0.592398976301573
"microtubule"	GO:0005874	2	isogroup246296	0.887308050204512
"microtubule"	GO:0005874	2	isogroup257389	1.13594012388204
"microtubule"	GO:0005874	2	isogroup263466	2.07704867855032
"microtubule"	GO:0005874	2	isogroup251804	0.678446469026177
"microtubule"	GO:0005874	2	isogroup251079	1.94579006696529
"microtubule"	GO:0005874	2	isogroup262884	-1.76538195587733
"microtubule"	GO:0005874	2	isogroup255649	1.06524872282938
"microtubule"	GO:0005874	2	isogroup252389	0.499547909803861
