name	term	lev	seq	value
"basal lamina"	GO:0005605	2	isogroup255918	0.247556861198883
"basal lamina"	GO:0005605	2	isogroup263694	0.340809140404081
"basal lamina"	GO:0005605	2	isogroup256121	-0.89270402866096
"basal lamina"	GO:0005605	2	isogroup261946	-0.396169230629496
"basal lamina"	GO:0005605	2	isogroup254608	0.228015190972383
"cAMP-dependent protein kinase complex"	GO:0005952	4	isogroup260022	-0.122503315149263
"cAMP-dependent protein kinase complex"	GO:0005952	4	isogroup239613	1.34209654140906
"cAMP-dependent protein kinase complex"	GO:0005952	4	isogroup256115	5.77332921787339
"cAMP-dependent protein kinase complex"	GO:0005952	4	isogroup234886	-0.208833361666539
"cAMP-dependent protein kinase complex"	GO:0005952	4	isogroup224821	0.187928231082245
"cAMP-dependent protein kinase complex"	GO:0005952	4	isogroup209803	-1.52758114533785
"nucleolar part"	GO:0044452	3	isogroup261186	-2.32971812331837
"nucleolar part"	GO:0044452	3	isogroup252873	0.559674348905986
"nucleolar part"	GO:0044452	3	isogroup247310	0.860286326538291
"nucleolar part"	GO:0044452	3	isogroup261715	-0.0770935279162567
"nucleolar part"	GO:0044452	3	isogroup252448	0.620373340358753
"nucleolar part"	GO:0044452	3	isogroup237767	1.85257456100581
"nucleolar part"	GO:0044452	3	isogroup259362	1.74718615764328
"nucleolar part"	GO:0044452	3	isogroup250481	-1.99999692184537
"nucleolar part"	GO:0044452	3	isogroup262668	5.37809571402143
"nucleolar part"	GO:0044452	3	isogroup247543	-0.336755468780037
"nucleolar part"	GO:0044452	3	isogroup206668	-1.01443893393941
"nucleolar part"	GO:0044452	3	isogroup240760	-1.09136095858352
"nucleolar part"	GO:0044452	3	isogroup251335	0.522171590851403
"nucleolar part"	GO:0044452	3	isogroup248182	1.30777994832575
"nucleolar part"	GO:0044452	3	isogroup250709	0.987873136620576
"nucleolar part"	GO:0044452	3	isogroup245060	1.58208384958239
"condensed chromosome"	GO:0000793	2	isogroup254628	-1.36209388058883
"condensed chromosome"	GO:0000793	2	isogroup261715	-0.0770935279162567
"condensed chromosome"	GO:0000793	2	isogroup258235	-0.440431851218977
"condensed chromosome"	GO:0000793	2	isogroup257850	-4.08843414461655
"condensed chromosome"	GO:0000793	2	isogroup224335	-7.04865416648427
"condensed chromosome"	GO:0000793	2	isogroup258557	-0.050112997116843
"condensed chromosome"	GO:0000793	2	isogroup252077	0.871322194500041
"condensed chromosome"	GO:0000793	2	isogroup249653	0.547619217600635
"condensed chromosome"	GO:0000793	2	isogroup263811	-0.300287742035882
"condensed chromosome"	GO:0000793	2	isogroup256520	-1.59574104598462
"condensed chromosome"	GO:0000793	2	isogroup240777	-1.89466403147192
"condensed chromosome"	GO:0000793	2	isogroup258049	1.9061922588238
"condensed chromosome"	GO:0000793	2	isogroup263076	-0.37536520122584
"condensed chromosome"	GO:0000793	2	isogroup233820	0.714479740476855
"ER to Golgi transport vesicle"	GO:0030134	6	isogroup253427	0.271626029420177
"ER to Golgi transport vesicle"	GO:0030134	6	isogroup248246	0.217691059724509
"ER to Golgi transport vesicle"	GO:0030134	6	isogroup259379	0.140570821323572
"ER to Golgi transport vesicle"	GO:0030134	6	isogroup247001	0.877921958886844
"ER to Golgi transport vesicle"	GO:0030134	6	isogroup260597	0.325799888235783
"ER to Golgi transport vesicle"	GO:0030134	6	isogroup247236	7.45459681388201
"ER to Golgi transport vesicle"	GO:0030134	6	isogroup255716	1.06129319955472
"ciliary basal body"	GO:0036064	2	isogroup248761	-0.0574606079125068
"ciliary basal body"	GO:0036064	2	isogroup263603	0.409719582842395
"ciliary basal body"	GO:0036064	2	isogroup248653	2.76044549485607
"ciliary basal body"	GO:0036064	2	isogroup261828	0.297676891898729
"ciliary basal body"	GO:0036064	2	isogroup238780	-0.924766746522586
"ciliary basal body"	GO:0036064	2	isogroup261395	4.07189572796022
"ciliary basal body"	GO:0036064	2	isogroup260169	0.651974058964577
"ciliary basal body"	GO:0036064	2	isogroup260140	1.74292608605309
"ciliary basal body"	GO:0036064	2	isogroup248030	0.0277396362881038
"ciliary basal body"	GO:0036064	2	isogroup118924	0.694819105161283
"ciliary basal body"	GO:0036064	2	isogroup253936	-3.37253133984013
"ciliary basal body"	GO:0036064	2	isogroup259484	0.914764403174365
"ciliary basal body"	GO:0036064	2	isogroup262606	-1.41445861644666
"ciliary basal body"	GO:0036064	2	isogroup162207	1.84343279413507
"ciliary basal body"	GO:0036064	2	isogroup243800	0.81395877496077
"ciliary basal body"	GO:0036064	2	isogroup262603	1.38494820605981
"ciliary basal body"	GO:0036064	2	isogroup250496	0.0402695116793718
"ciliary basal body"	GO:0036064	2	isogroup245073	-0.0141903434694692
"ciliary basal body"	GO:0036064	2	isogroup249007	0.803849071908863
"ciliary basal body"	GO:0036064	2	isogroup257963	-0.846598330349615
"ciliary basal body"	GO:0036064	2	isogroup233859	-0.900464965584074
"ciliary basal body"	GO:0036064	2	isogroup239897	1.63218011927087
"ciliary basal body"	GO:0036064	2	isogroup259849	2.0861478827477
"ciliary basal body"	GO:0036064	2	isogroup248921	1.55599181338546
"ciliary basal body"	GO:0036064	2	isogroup228973	-1.9444170611891
"ciliary basal body"	GO:0036064	2	isogroup257368	0.635172073208012
"ciliary basal body"	GO:0036064	2	isogroup222503	0.452103865789214
"ciliary basal body"	GO:0036064	2	isogroup262543	-2.32683708193637
"ciliary basal body"	GO:0036064	2	isogroup259083	-0.377969809440099
"ciliary basal body"	GO:0036064	2	isogroup222970	5.27202661042091
"ciliary basal body"	GO:0036064	2	isogroup262440	0.0353525622212878
"ciliary basal body"	GO:0036064	2	isogroup262308	0.335524231944583
"ciliary basal body"	GO:0036064	2	isogroup250647	-0.711610223820988
"ciliary basal body"	GO:0036064	2	isogroup250604	4.61080629243955
"ciliary basal body"	GO:0036064	2	isogroup235261	1.3722716582069
"ciliary basal body"	GO:0036064	2	isogroup250257	1.91627568715086
"ciliary basal body"	GO:0036064	2	isogroup247374	0.192711100511585
"ciliary basal body"	GO:0036064	2	isogroup251960	0.724368116119762
"ciliary basal body"	GO:0036064	2	isogroup256805	0.552519330935572
"ciliary basal body"	GO:0036064	2	isogroup255246	2.31905087538947
"ciliary basal body"	GO:0036064	2	isogroup263513	-0.26097365089061
"ciliary basal body"	GO:0036064	2	isogroup260477	6.5142086313862
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup255371	-0.450315269497642
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup216018	-0.942302845580304
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup251990	1.56965968969108
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup257760	3.1993650289257
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup254581	1.15149917629613
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup245402	0.250449885872914
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup242127	0.840451804323854
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup263051	-3.11055940511732
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup240021	0.0811568093007426
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup252259	0.51902839300166
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup232077	0.504459799411052
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup247154	-0.277698906775083
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup259153	-0.633363138822803
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup242848	-0.290802725210427
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup254131	-1.12968924360734
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup255744	0.329120233417354
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup254066	-1.06853961170212
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup212862	0.324431287216367
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup250581	0.905685783840792
"endocytic vesicle membrane"	GO:0030666;GO:0030670	2	isogroup260583	0.327173407965447
"nuclear chromosome"	GO:0000228	2	isogroup258235	-0.440431851218977
"nuclear chromosome"	GO:0000228	2	isogroup251597	0.021481730553929
"nuclear chromosome"	GO:0000228	2	isogroup225568	-0.641598628858028
"nuclear chromosome"	GO:0000228	2	isogroup243619	-2.67132757050827
"nuclear chromosome"	GO:0000228	2	isogroup263692	-2.20670912898562
"nuclear chromosome"	GO:0000228	2	isogroup254796	-1.767198003267
"nuclear chromosome"	GO:0000228	2	isogroup51519	-0.00292542433485961
"nuclear chromosome"	GO:0000228	2	isogroup252077	0.871322194500041
"nuclear chromosome"	GO:0000228	2	isogroup246493	6.54806052831315
"nuclear chromosome"	GO:0000228	2	isogroup263811	-0.300287742035882
"nuclear chromosome"	GO:0000228	2	isogroup257989	-2.76342223541842
"nuclear chromosome"	GO:0000228	2	isogroup256452	-0.883632397801599
"nuclear chromosome"	GO:0000228	2	isogroup257293	-0.445000422070583
"nuclear chromosome"	GO:0000228	2	isogroup256520	-1.59574104598462
"nuclear chromosome"	GO:0000228	2	isogroup247447	-0.560209664496116
"nuclear chromosome"	GO:0000228	2	isogroup240777	-1.89466403147192
"nuclear chromosome"	GO:0000228	2	isogroup225879	-0.150260580234355
"nuclear chromosome"	GO:0000228	2	isogroup258049	1.9061922588238
"nuclear chromosome"	GO:0000228	2	isogroup243987	-1.66927042394255
"nuclear chromosome"	GO:0000228	2	isogroup245410	2.62801273741419
"nuclear chromosome"	GO:0000228	2	isogroup263025	-0.780522318067915
"nuclear chromosome"	GO:0000228	2	isogroup263076	-0.37536520122584
"nuclear chromosome"	GO:0000228	2	isogroup230234	-0.222876316673632
"nuclear chromosome"	GO:0000228	2	isogroup233820	0.714479740476855
"nuclear chromosome"	GO:0000228	2	isogroup254745	1.27259957402441
"myosin II complex"	GO:0016460	4	isogroup220758	-19.4960597309943
"myosin II complex"	GO:0016460	4	isogroup258158	-2.91016385326681
"myosin II complex"	GO:0016460	4	isogroup251172	-12.8735303089344
"myosin II complex"	GO:0016460	4	isogroup256242	-1.67983728160811
"myosin II complex"	GO:0016460	4	isogroup232511	-2.07460668090574
"myosin II complex"	GO:0016460	4	isogroup232494	-1.28469261750908
"myosin II complex"	GO:0016460	4	isogroup238280	0.426770789088399
"myosin II complex"	GO:0016460	4	isogroup226366	-3.00629395293987
"nuclear exosome (RNase complex)"	GO:0000176	2	isogroup249023	-0.790644884630219
"nuclear exosome (RNase complex)"	GO:0000176	2	isogroup250733	0.623270379825095
"nuclear exosome (RNase complex)"	GO:0000176	2	isogroup262404	6.17727557217381
