name	term	lev	seq	value
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup52433	-0.48360179510598
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup183816	4.30152106247454
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup195012	0.616381200664715
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup219483	1.07318409345891
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup224528	1.18068344361353
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup264092	0.432999199127116
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup41066	-0.317521225931382
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup52933	-1.59787051656806
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup113734	2.36825757864281
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup209321	-6.12117197772558
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup256210	-0.574457789259785
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup195443	0.135594190384197
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup184549	0.155591073145573
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup56557	-1.94765695796143
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup183116	1.97543934292399
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup231063	0.700646044822622
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup265801	1.60999498922624
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup194210	-1.13192913009875
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup270858	-0.409777181057066
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup41419	1.21604876178377
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup45394	0.759753449144371
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup39934	-0.447090058901397
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup159143	-0.445920189220897
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup201439	-0.0123517046308745
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup266217	-1.07800846200552
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup264946	0.445428493239881
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup263292	-1.37668166472159
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup264607	-0.362349479022162
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup266893	0.466810839050258
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup226902	-3.76963365117985
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup189094	0.156225114924242
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup244498	1.56999410076972
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup114923	0.0741411398406033
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup45463	-0.0574168370755298
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup193417	2.14031639691234
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup223122	0.257031240777182
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup235004	1.55435437864011
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup252598	0.220495106095932
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup242599	0.999372196687551
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup246055	3.74170319291283
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup116154	0.443959087303986
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup169901	2.17867546194814
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup226229	-0.298443027917878
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup204282	-1.2822159625255
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup236251	1.9648523547118
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup207391	-3.59503322682982
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup231234	0.671401002186586
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup220366	1.79152669349016
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup42849	0.474492432490953
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup247249	0.957445698055905
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup241085	3.58509040329074
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup236264	1.67918957283038
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup244607	2.06198637828886
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup226247	0.0166383630811944
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup66369	1.33525070956341
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup115785	2.82260990421223
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup244489	2.39502588834536
"photosystem"	GO:0009521;GO:0030076;GO:0009523	2	isogroup263916	0.0473921286168456
"perikaryon"	GO:0043204	3	isogroup117472	0.10132248897696
"perikaryon"	GO:0043204	3	isogroup162098	1.32058507564
"perikaryon"	GO:0043204	3	isogroup197780	0.0528737508096623
"perikaryon"	GO:0043204	3	isogroup115251	-0.989375480729948
"perikaryon"	GO:0043204	3	isogroup177597	0.861025808670918
"perikaryon"	GO:0043204	3	isogroup237709	-2.12166709275979
"nucleoplasm"	GO:0005654	4	isogroup41639	-0.63215739580258
"nucleoplasm"	GO:0005654	4	isogroup268116	-2.03425618139011
"nucleoplasm"	GO:0005654	4	isogroup43301	0.862762492731098
"nucleoplasm"	GO:0005654	4	isogroup235885	-0.428325601446075
"nucleoplasm"	GO:0005654	4	isogroup177742	4.95751013052114
"nucleoplasm"	GO:0005654	4	isogroup45948	-3.04536376667017
"nucleoplasm"	GO:0005654	4	isogroup259100	-0.856547433359614
"nucleoplasm"	GO:0005654	4	isogroup47198	-0.791784148968068
"nucleoplasm"	GO:0005654	4	isogroup259982	-1.01131056842217
"nucleoplasm"	GO:0005654	4	isogroup153858	-3.4609609873938
"nucleoplasm"	GO:0005654	4	isogroup209785	-1.15266350662308
"nucleoplasm"	GO:0005654	4	isogroup114947	-0.192213580975969
"nucleoplasm"	GO:0005654	4	isogroup184416	0.716893036624277
"nucleoplasm"	GO:0005654	4	isogroup113734	2.36825757864281
"nucleoplasm"	GO:0005654	4	isogroup54050	3.42827072336727
"nucleoplasm"	GO:0005654	4	isogroup267473	-1.05433572420371
"nucleoplasm"	GO:0005654	4	isogroup116093	0.276173294794588
"nucleoplasm"	GO:0005654	4	isogroup45170	0.198163555050161
"nucleoplasm"	GO:0005654	4	isogroup264247	0.603748745529016
"nucleoplasm"	GO:0005654	4	isogroup203086	-0.162250201433165
"nucleoplasm"	GO:0005654	4	isogroup52235	-0.160916659739765
"nucleoplasm"	GO:0005654	4	isogroup178134	0.205971034400331
"nucleoplasm"	GO:0005654	4	isogroup195443	0.135594190384197
"nucleoplasm"	GO:0005654	4	isogroup191308	-2.32011559775782
"nucleoplasm"	GO:0005654	4	isogroup209249	1.86832193257325
"nucleoplasm"	GO:0005654	4	isogroup114552	-0.497402186211058
"nucleoplasm"	GO:0005654	4	isogroup116911	0.103611865394766
"nucleoplasm"	GO:0005654	4	isogroup239382	-0.27220248034719
"nucleoplasm"	GO:0005654	4	isogroup242095	0.517090055806437
"nucleoplasm"	GO:0005654	4	isogroup183116	1.97543934292399
"nucleoplasm"	GO:0005654	4	isogroup114120	3.41020899292117
"nucleoplasm"	GO:0005654	4	isogroup267636	-0.657542443662719
"nucleoplasm"	GO:0005654	4	isogroup264656	-1.15610086412656
"nucleoplasm"	GO:0005654	4	isogroup267650	-0.51345058168361
"nucleoplasm"	GO:0005654	4	isogroup240343	3.6783854852074
"nucleoplasm"	GO:0005654	4	isogroup117242	-0.41657717889151
"nucleoplasm"	GO:0005654	4	isogroup115982	0.46877407517321
"nucleoplasm"	GO:0005654	4	isogroup115617	2.76985651349204
"nucleoplasm"	GO:0005654	4	isogroup213471	-1.58368994165144
"nucleoplasm"	GO:0005654	4	isogroup164233	-0.530194656920157
