name	term	lev	seq	value
"platelet dense granule membrane"	GO:0031088	2	isogroup260616	-1.2307850806696
"platelet dense granule membrane"	GO:0031088	2	isogroup263194	-1.23649009130425
"platelet dense granule membrane"	GO:0031088	2	isogroup263006	0.165379175229322
"platelet dense granule membrane"	GO:0031088	2	isogroup260457	-0.0320115267981562
"platelet dense granule membrane"	GO:0031088	2	isogroup213288	-0.655853014873378
"platelet dense granule membrane"	GO:0031088	2	isogroup260332	0.131340307577801
"ciliary basal body"	GO:0036064	2	isogroup248761	-0.840393164148204
"ciliary basal body"	GO:0036064	2	isogroup263603	0.619501330983914
"ciliary basal body"	GO:0036064	2	isogroup248653	-2.21804922841143
"ciliary basal body"	GO:0036064	2	isogroup261828	-0.212257253827874
"ciliary basal body"	GO:0036064	2	isogroup238780	-0.632538518937827
"ciliary basal body"	GO:0036064	2	isogroup253569	1.53163490012429
"ciliary basal body"	GO:0036064	2	isogroup261395	-1.09717873984699
"ciliary basal body"	GO:0036064	2	isogroup260169	-0.565968158220839
"ciliary basal body"	GO:0036064	2	isogroup260140	-0.492637363881005
"ciliary basal body"	GO:0036064	2	isogroup257847	0.366573069855614
"ciliary basal body"	GO:0036064	2	isogroup248030	0.357319107612108
"ciliary basal body"	GO:0036064	2	isogroup118924	-1.08162003188687
"ciliary basal body"	GO:0036064	2	isogroup253936	1.29456753153556
"ciliary basal body"	GO:0036064	2	isogroup259484	-0.530873098493376
"ciliary basal body"	GO:0036064	2	isogroup262606	-1.09699117170614
"ciliary basal body"	GO:0036064	2	isogroup162207	0.379942895066287
"ciliary basal body"	GO:0036064	2	isogroup243800	0.653446996180669
"ciliary basal body"	GO:0036064	2	isogroup262603	0.319613159260004
"ciliary basal body"	GO:0036064	2	isogroup250496	-0.65220028721506
"ciliary basal body"	GO:0036064	2	isogroup245073	2.20053557409803
"ciliary basal body"	GO:0036064	2	isogroup249007	2.46684078949028
"ciliary basal body"	GO:0036064	2	isogroup257963	0.120839793060343
"ciliary basal body"	GO:0036064	2	isogroup233859	0.349126881657979
"ciliary basal body"	GO:0036064	2	isogroup239897	-0.269981537649529
"ciliary basal body"	GO:0036064	2	isogroup259849	0.186851448581641
"ciliary basal body"	GO:0036064	2	isogroup248921	-0.7338854867403
"ciliary basal body"	GO:0036064	2	isogroup228973	-0.794843948882691
"ciliary basal body"	GO:0036064	2	isogroup257368	0.189348814034007
"ciliary basal body"	GO:0036064	2	isogroup222503	-1.34447213703378
"ciliary basal body"	GO:0036064	2	isogroup262543	-2.92766588499775
"ciliary basal body"	GO:0036064	2	isogroup259083	-0.0552095803813137
"ciliary basal body"	GO:0036064	2	isogroup222970	1.06473134384631
"ciliary basal body"	GO:0036064	2	isogroup262440	-3.52424565532754
"ciliary basal body"	GO:0036064	2	isogroup262308	0.115134971186015
"ciliary basal body"	GO:0036064	2	isogroup250647	-0.0587092947600662
"ciliary basal body"	GO:0036064	2	isogroup250604	-1.50811483763068
"ciliary basal body"	GO:0036064	2	isogroup235261	0.314754202201303
"ciliary basal body"	GO:0036064	2	isogroup250257	0.559313868040465
"ciliary basal body"	GO:0036064	2	isogroup247374	-0.358485541832416
"ciliary basal body"	GO:0036064	2	isogroup251960	-0.294516198909854
"ciliary basal body"	GO:0036064	2	isogroup256805	0.822723811663835
"ciliary basal body"	GO:0036064	2	isogroup255246	-1.97179051770722
"ciliary basal body"	GO:0036064	2	isogroup263513	-0.13749747977399
"ciliary basal body"	GO:0036064	2	isogroup260477	-0.434794997736575
"T-tubule"	GO:0030315	3	isogroup254619	-1.95165372699643
"T-tubule"	GO:0030315	3	isogroup261224	0.8158233828632
"T-tubule"	GO:0030315	3	isogroup235597	1.0735155675871
"T-tubule"	GO:0030315	3	isogroup260184	-1.41403661676955
"T-tubule"	GO:0030315	3	isogroup261088	-0.970041827048654
"T-tubule"	GO:0030315	3	isogroup235573	-0.949084464171519
"T-tubule"	GO:0030315	3	isogroup256235	-1.16694265005518
"T-tubule"	GO:0030315	3	isogroup259906	-0.624173802649191
"T-tubule"	GO:0030315	3	isogroup228788	-0.911320145058121
"T-tubule"	GO:0030315	3	isogroup241413	-0.0586919407873785
"T-tubule"	GO:0030315	3	isogroup260589	1.29089569206874
"T-tubule"	GO:0030315	3	isogroup251333	-2.2597894794317
"plasma lipoprotein particle"	GO:0034358;GO:0032994	2	isogroup262821	-0.754374813273916
"plasma lipoprotein particle"	GO:0034358;GO:0032994	2	isogroup237165	-0.741181462894006
"plasma lipoprotein particle"	GO:0034358;GO:0032994	2	isogroup261864	-4.07175557067354
"plasma lipoprotein particle"	GO:0034358;GO:0032994	2	isogroup262480	2.67898573383134
"plasma lipoprotein particle"	GO:0034358;GO:0032994	2	isogroup260728	0.980120263248624
"plasma lipoprotein particle"	GO:0034358;GO:0032994	2	isogroup242848	1.14784859377009
"plasma lipoprotein particle"	GO:0034358;GO:0032994	2	isogroup261871	-0.50979257781678
"plasma lipoprotein particle"	GO:0034358;GO:0032994	2	isogroup259701	-0.776465729111062
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup241957	1.18861733699542
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup248761	-0.840393164148204
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup261899	-2.33382222394503
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup261407	0.329584936594291
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup234154	-3.78699193204017
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup243934	1.9988997943699
