name	term	lev	seq	value
"calmodulin-dependent protein kinase activity"	GO:0004683	4	isogroup117485	-1.60828398462573
"calmodulin-dependent protein kinase activity"	GO:0004683	4	isogroup203086	-0.199111716121315
"calmodulin-dependent protein kinase activity"	GO:0004683	4	isogroup267138	-0.580733897056595
"calmodulin-dependent protein kinase activity"	GO:0004683	4	isogroup270163	2.40697203345564
"calmodulin-dependent protein kinase activity"	GO:0004683	4	isogroup268296	0.323418029752578
"calmodulin-dependent protein kinase activity"	GO:0004683	4	isogroup267907	-1.0872891880739
"calmodulin-dependent protein kinase activity"	GO:0004683	4	isogroup265238	-0.456252253670404
"calmodulin-dependent protein kinase activity"	GO:0004683	4	isogroup49135	-1.48695442791789
"calmodulin-dependent protein kinase activity"	GO:0004683	4	isogroup264391	-1.05950102095932
"calmodulin-dependent protein kinase activity"	GO:0004683	4	isogroup227401	-0.036877682032463
"transaminase activity"	GO:0008483;GO:0016769	4	isogroup178239	-3.69003497863694
"transaminase activity"	GO:0008483;GO:0016769	4	isogroup52028	-0.607759264694846
"transaminase activity"	GO:0008483;GO:0016769	4	isogroup116019	-0.488808065926698
"transaminase activity"	GO:0008483;GO:0016769	4	isogroup113969	0.227812065503957
"transaminase activity"	GO:0008483;GO:0016769	4	isogroup270437	0.585506353561317
"transaminase activity"	GO:0008483;GO:0016769	4	isogroup42104	0.0658106893660504
"transaminase activity"	GO:0008483;GO:0016769	4	isogroup270644	-0.944870000985598
"transaminase activity"	GO:0008483;GO:0016769	4	isogroup56446	1.55686169754172
"transaminase activity"	GO:0008483;GO:0016769	4	isogroup247798	-0.421139366564269
"transaminase activity"	GO:0008483;GO:0016769	4	isogroup267952	0.222925229008029
"transaminase activity"	GO:0008483;GO:0016769	4	isogroup264192	0.932820556985829
"transaminase activity"	GO:0008483;GO:0016769	4	isogroup185401	0.760780017536721
"transaminase activity"	GO:0008483;GO:0016769	4	isogroup56423	0.0391440053582617
"transaminase activity"	GO:0008483;GO:0016769	4	isogroup154626	-2.12476011952461
"transaminase activity"	GO:0008483;GO:0016769	4	isogroup208754	-0.146581775414337
"ribosome binding"	GO:0043022	3	isogroup115946	0.321875936500577
"ribosome binding"	GO:0043022	3	isogroup268549	0.148083765257402
"ribosome binding"	GO:0043022	3	isogroup227514	0.687780185788944
"ribosome binding"	GO:0043022	3	isogroup208170	-1.09162768087643
"ribosome binding"	GO:0043022	3	isogroup123908	-0.0601169291822883
"ribosome binding"	GO:0043022	3	isogroup47215	-1.11337070038839
"chloride transmembrane transporter activity"	GO:0005254;GO:0005253;GO:0015108	6	isogroup119935	4.24119631379907
"chloride transmembrane transporter activity"	GO:0005254;GO:0005253;GO:0015108	6	isogroup163634	0.925344200835533
"chloride transmembrane transporter activity"	GO:0005254;GO:0005253;GO:0015108	6	isogroup228541	3.93217575921186
"chloride transmembrane transporter activity"	GO:0005254;GO:0005253;GO:0015108	6	isogroup272902	-0.17403629083392
"chloride transmembrane transporter activity"	GO:0005254;GO:0005253;GO:0015108	6	isogroup222554	0.804216656151857
"helicase activity"	GO:0004386	2	isogroup208692	0.000627429174888871
"helicase activity"	GO:0004386	2	isogroup117083	-0.0498746722059957
"helicase activity"	GO:0004386	2	isogroup208057	-0.608884995668533
"helicase activity"	GO:0004386	2	isogroup163121	0.188483620390151
"helicase activity"	GO:0004386	2	isogroup217812	-1.87585582839941
"helicase activity"	GO:0004386	2	isogroup252483	-0.980948587803586
"helicase activity"	GO:0004386	2	isogroup174989	1.30912287636893
"helicase activity"	GO:0004386	2	isogroup171830	0.703777465577137
"helicase activity"	GO:0004386	2	isogroup55059	0.253871690764965
"helicase activity"	GO:0004386	2	isogroup46239	-0.777182061326723
"helicase activity"	GO:0004386	2	isogroup175406	-1.21856677781837
"helicase activity"	GO:0004386	2	isogroup174036	-0.704010060471091
"helicase activity"	GO:0004386	2	isogroup259982	0.23052070646154
"helicase activity"	GO:0004386	2	isogroup214454	-2.16333076367642
"helicase activity"	GO:0004386	2	isogroup215751	1.35704949149467
"helicase activity"	GO:0004386	2	isogroup53282	2.59722300954639
"helicase activity"	GO:0004386	2	isogroup39026	1.84271925051941
"helicase activity"	GO:0004386	2	isogroup114572	-0.827595421261231
"helicase activity"	GO:0004386	2	isogroup210882	-0.323898634559284
"helicase activity"	GO:0004386	2	isogroup46148	0.0814500043803409
"helicase activity"	GO:0004386	2	isogroup196897	1.01288840857891
"helicase activity"	GO:0004386	2	isogroup181348	1.57530699296246
"helicase activity"	GO:0004386	2	isogroup209321	2.54476539815308
"helicase activity"	GO:0004386	2	isogroup216616	-0.391134696884478
"helicase activity"	GO:0004386	2	isogroup173714	-1.33342528086689
"helicase activity"	GO:0004386	2	isogroup40678	-0.769639214199533
"helicase activity"	GO:0004386	2	isogroup196508	-0.97408681463436
"helicase activity"	GO:0004386	2	isogroup191425	1.02763279570591
"helicase activity"	GO:0004386	2	isogroup166353	-2.04825259569297
"helicase activity"	GO:0004386	2	isogroup237313	-0.267710739259428
"helicase activity"	GO:0004386	2	isogroup239382	1.82938585695664
"helicase activity"	GO:0004386	2	isogroup231585	1.12134875205981
"helicase activity"	GO:0004386	2	isogroup186845	-0.48425570125361
"helicase activity"	GO:0004386	2	isogroup187979	-1.14126911555742
"helicase activity"	GO:0004386	2	isogroup228102	0.511193728529672
"helicase activity"	GO:0004386	2	isogroup270829	-0.557014427202656
"helicase activity"	GO:0004386	2	isogroup252818	-0.0169802380528156
"helicase activity"	GO:0004386	2	isogroup46788	-1.63362805873378
"helicase activity"	GO:0004386	2	isogroup239102	-0.352404634998916
"helicase activity"	GO:0004386	2	isogroup259391	1.30919873548587
"helicase activity"	GO:0004386	2	isogroup211957	0.659323470124809
"helicase activity"	GO:0004386	2	isogroup51619	0.181773277006686
"helicase activity"	GO:0004386	2	isogroup115020	0.23657598017842
"helicase activity"	GO:0004386	2	isogroup208361	-0.011952847683343
"helicase activity"	GO:0004386	2	isogroup115704	0.598493645548775
"helicase activity"	GO:0004386	2	isogroup202163	-0.931491879024716
"helicase activity"	GO:0004386	2	isogroup265523	-1.43229512177293
"helicase activity"	GO:0004386	2	isogroup45463	-0.569332215459047
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016896;GO:0004532;GO:0016796	2	isogroup51604	0.24087222902446
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016896;GO:0004532;GO:0016796	2	isogroup113717	-0.0947494100050204
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016896;GO:0004532;GO:0016796	2	isogroup44998	0.367709149543414
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016896;GO:0004532;GO:0016796	2	isogroup209939	0.224327188525062
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016896;GO:0004532;GO:0016796	2	isogroup205341	-0.477763270988736
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016896;GO:0004532;GO:0016796	2	isogroup158217	1.66019309162239
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016896;GO:0004532;GO:0016796	2	isogroup271810	2.68660755775164
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016896;GO:0004532;GO:0016796	2	isogroup47432	1.14103250115277
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016896;GO:0004532;GO:0016796	2	isogroup172917	-0.629892743173648
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016896;GO:0004532;GO:0016796	2	isogroup155316	-0.320464103712099
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	GO:0016896;GO:0004532;GO:0016796	2	isogroup40058	-2.05539512402334
"GDP binding"	GO:0019003	3	isogroup81118	-0.0698424014380327
"GDP binding"	GO:0019003	3	isogroup53359	1.39687662957565
"GDP binding"	GO:0019003	3	isogroup219744	1.02025415208998
"GDP binding"	GO:0019003	3	isogroup265203	1.35262123188163
"GDP binding"	GO:0019003	3	isogroup266017	-0.945873643167193
"GDP binding"	GO:0019003	3	isogroup267643	0.722250825475213
"GDP binding"	GO:0019003	3	isogroup223766	3.27179030118105
"GDP binding"	GO:0019003	3	isogroup270230	0.667208837918565
